City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Pareora,NZ,-44.49,171.21,52.18,86,28,3.56,scattered clouds
84,Vicuna,CL,-30.03,-70.71,53.76,62,12,5.50,few clouds
85,Vaini,TO,-21.20,-175.20,71.76,94,100,13.80,overcast clouds
86,Yinchuan,CN,38.47,106.27,63.64,34,0,6.71,clear sky
87,La Trinidad,PH,16.45,120.59,62.38,92,63,1.97,broken clouds
88,Constitucion,CL,-35.33,-72.42,51.57,60,6,5.48,clear sky
89,Muzhi,RU,65.37,64.67,53.64,98,100,7.87,overcast clouds
90,Pochutla,MX,15.74,-96.47,75.02,89,100,2.01,overcast clouds
91,Kruisfontein,ZA,-34.00,24.73,64.89,54,0,9.40,clear sky
92,Hithadhoo,MV,-0.60,73.08,82.31,70,44,5.75,scattered clouds
93,Barrow,US,71.29,-156.79,28.42,100,0,8.05,clear sky
94,East London,ZA,-33.02,27.91,62.06,67,97,5.21,light rain
95,Axim,GH,4.87,-2.24,78.35,79,89,12.75,overcast clouds
96,Aliwal North,ZA,-30.69,26.71,48.76,70,94,28.70,overcast clouds
97,Sur,OM,22.57,59.53,84.76,66,0,9.04,clear sky
98,Hermanus,ZA,-34.42,19.23,68.81,62,1,11.72,clear sky
99,Butaritari,KI,3.07,172.79,81.46,69,100,6.02,overcast clouds
100,Puerto Ayora,EC,-0.74,-90.35,71.56,95,99,10.00,overcast clouds
101,Tezu,IN,27.92,96.17,77.34,94,100,2.84,overcast clouds
102,Moerai,PF,-22.43,-151.33,73.29,80,8,18.37,clear sky
103,Baykit,RU,61.67,96.37,35.46,77,80,15.73,broken clouds
104,Concarneau,FR,47.88,-3.92,73.81,56,100,3.15,overcast clouds
105,Karema,TZ,-6.82,30.44,87.31,42,8,9.24,clear sky
106,Kodiak,US,57.79,-152.41,47.71,76,100,6.91,overcast clouds
107,Chuy,UY,-33.70,-53.46,55.71,82,100,10.74,overcast clouds
