City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Prince Rupert,CA,53.29,clear sky,54.32,-130.32,Crest Hotel
577,Raudeberg,NO,52.47,few clouds,61.99,5.14,Nordre Silda.
583,Goba,ET,53.85,light rain,7.02,39.98,Tsehay Bezabeh Metasebya Mengita Bet
589,Livingston,GB,66.58,overcast clouds,55.9,-3.52,Mercure Livingston Hotel
591,Togitsu,JP,65.98,scattered clouds,32.83,129.85,Yasuda Ocean Hotel Togitsu
594,Braintree,GB,68.77,overcast clouds,51.88,0.55,Premier Inn Braintree (A120) hotel
596,Mamontovo,RU,62.11,broken clouds,52.71,81.62,Hostel Postoyaliy Dvor
600,El Sauzal,MX,61.41,clear sky,31.9,-116.68,Hotel Las Rosas & Spa
601,Callander,GB,65.52,scattered clouds,56.24,-4.22,The Crags Hotel
602,Shelburne,CA,64.11,few clouds,44.08,-80.2,The Retreat at the Farm
605,Uddevalla,SE,61.18,scattered clouds,58.35,11.94,Best Western Hotel Carlia
606,Halden,NO,63.63,few clouds,59.12,11.39,Clarion Collection Hotel Park
608,Lac Du Bonnet,CA,61.57,clear sky,50.25,-96.06,Drifter's Inn
619,Minsk,BY,55.15,overcast clouds,53.9,27.57,Minsk Hotel
621,Coos Bay,US,56.98,overcast clouds,43.37,-124.22,Best Western Holiday Hotel
623,Aix-Les-Bains,FR,67.48,clear sky,45.68,5.92,Hôtel Villa Marlioz
625,Kaizuka,JP,68.22,broken clouds,34.45,135.35,Hotel Sunrise Inn
633,Qinhuangdao,CN,57.97,clear sky,39.93,119.59,Qinhuangdao Peninsula Seasons Hotel And Apartment
637,Roma,US,63.95,overcast clouds,43.21,-75.46,Wingate By Wyndham Rome
639,Bemidji,US,67.17,clear sky,47.47,-94.88,Hampton Inn & Suites Bemidji
651,Ayagoz,KZ,59.83,clear sky,47.97,80.44,ХАН
658,Amos,CA,53.19,broken clouds,48.57,-78.12,Amosphère Resort
661,Sistranda,NO,55.36,few clouds,63.73,8.83,Hotell Frøya
666,Bonavista,CA,53.44,scattered clouds,48.65,-53.11,Sweet Sharons bnb
670,Margate,GB,65.3,overcast clouds,51.38,1.39,Premier Inn Margate hotel
